business_title,business_address,business_phone,business_city,state,zipcode,business_website,business_emails
Rockefeller Center,"45 Rockefeller Plaza\, New York\, NY 10111",(212) 588-8601,45 Rockefeller Plaza, New York,10111,rockefellercenter.com,-
The Restaurant,"506 9th Ave\, New York\, NY 10018",(212) 564-4950,506 9th Ave, New York,10018,therestaurants.us,-
OCabanon,"245 W 29th St\, New York\, NY 10001",(646) 669-7879,245 W 29th St, New York,10001,ocabanon.com,-
biricchino,"260 W 29th St\, New York\, NY 10001",(212) 695-6690,260 W 29th St, New York,10001,biricchino.com,-
Juniper Bar,"237 W 35th St\, New York\, NY 10001",(212) 967-2511,237 W 35th St, New York,10001,juniperbarnyc.com,-
Kahlo,"525 W 29th St\, New York\, NY 10001",(212) 256-0083,525 W 29th St, New York,10001,kahlonyc.com,-
Porteño,"299 10th Ave\, New York\, NY 10001",(212) 695-9694,299 10th Ave, New York,10001,portenorestaurant.com,-
Death Ave,"315 10th Ave\, New York\, NY 10001",(212) 695-8080,315 10th Ave, New York,10001,deathave.com,-
Zou Zou’s,"385 9th Ave Suite 85\, New York\, NY 10001",(212) 380-8585,385 9th Ave Suite 85, New York,10001,zouzousnyc.com,-
Butcher and Banker NYC,"Vault Level\, 481 8th Ave\, New York\, NY 10001",(212) 268-8455,481 8th Ave, New York,10001,butcherandbankernyc.com,-
Pennsylvania 6 NYC,"132 W 31st St\, New York\, NY 10001",(212) 727-3666,132 W 31st St, New York,10001,pennsylvania6nyc.com,-
Ci Siamo,"440 W 33rd St Suite #100\, New York\, NY 10001",(212) 219-6559,440 W 33rd St Suite #100, New York,10001,cisiamonyc.com,-
Sticky\'s Finger Joint,"362 7th Ave\, New York\, NY 10001",(917) 444-1810,362 7th Ave, New York,10001,stickys.com,-
Hidden Leaf,"75 Manhattan West Plaza Suite B\, New York\, NY 10001",(917) 905-2782,75 Manhattan West Plaza Suite B, New York,10001,hiddenleafnyc.com,-
Chipotle Mexican Grill,"304 W 34th St. Frnt 2\, New York\, NY 10001",(212) 268-4197,304 W 34th St. Frnt 2, New York,10001,locations.chipotle.com,-
Trattoria Bianca,"481 8th Ave\, New York\, NY 10001",(212) 268-8460,481 8th Ave, New York,10001,trattoriabianca.com,-
Haymaker Bar and Kitchen,"252 W 29th St\, New York\, NY 10001",(646) 429-8237,252 W 29th St, New York,10001,haymakernyc.com,-
Casa Dani,"448 W 33rd St\, New York\, NY 10001",(212) 785-0352,448 W 33rd St, New York,10001,N/A,-
Friedman\'s Herald Square,"132 W 31st St\, New York\, NY 10001",(212) 971-9400,132 W 31st St, New York,10001,friedmansrestaurant.com,-
DK Restaurant NYC,"207 W 36th St.\, New York\, NY 10001",(212) 695-5220,207 W 36th St., New York,10001,dkrestaurantnyc.com,-
Patiala,"371 W 34th St.\, New York\, NY 10001",(212) 564-8255,371 W 34th St., New York,10001,patialany.com,-
Ai Ki Ya Japanese Restaurant,"41 W 33rd St 1st floor\, New York\, NY 10001",(212) 548-6188,41 W 33rd St 1st floor, New York,10001,order.mealkeyway.com,-
Izakaya MEW,"53 W 35th St\, New York\, NY 10001",(646) 368-9384,53 W 35th St, New York,10001,mewnyc.com,-
Empire Restaurant Building,"20 W 34th St.\, New York\, NY 10001",N/A,20 W 34th St., New York,10001,N/A,-
The Chelsea House,"235 9th Ave\, Manhattan\, NY 10001",(646) 370-3315,235 9th Ave, Manhattan,10001,thechelseahousenyc.com,-
Chirp,"369 W 34th St.\, New York\, NY 10001",(646) 858-1788,369 W 34th St., New York,10001,chirpnyc.com,-
TGI Fridays,"211 W 34th St.\, New York\, NY 10001",(212) 564-0539,211 W 34th St., New York,10001,locations.tgifridays.com,-
The Vine,"851 6th Ave\, New York\, NY 10001",(212) 201-4065,851 6th Ave, New York,10001,thevine.nyc,-
NAYA - Chelsea,"370 7th Ave\, New York\, NY 10001",(646) 558-6888,370 7th Ave, New York,10001,eatnaya.com,-
Skylight Diner,"402 W 34th St.\, New York\, NY 10001",(212) 244-0395,402 W 34th St., New York,10001,skylightdinernyc.com,-
Barn Joo 35,"34 W 35th St\, New York\, NY 10001",(212) 564-4430,34 W 35th St, New York,10001,barnjoo.com,-
Gypsy Rose Bistro,"125 West 26th Street Between 6th & 7th Ave\, 125 W 26th St\, New York\, NY 10001",(646) 421-4242,125 W 26th St, New York,10001,gypsyrosebistro.com,-
Debajo,"44 W 29th St\, New York\, NY 10001",(212) 213-4429,44 W 29th St, New York,10001,debajonyc.com,-
Nick + Stef’s Steakhouse,"9 Pennsylvania Plaza\, New York\, NY 10001",(212) 563-4444,9 Pennsylvania Plaza, New York,10001,patinagroup.com,-
Gosuke-Akimitsu,"235 W 35th St\, New York\, NY 10001",(646) 861-1741,235 W 35th St, New York,10001,gosukerestaurant.com,-
